车辆编号,产品,停靠序号,客户编号,大蒜_kg,生姜_kg,总需求_kg,该路段出发载重_kg,路段距离_km,行驶时间_min,等效速度_kmh,高峰里程_km,到达时刻,等待_min,开始服务时刻,离开时刻,早到偏差_min,迟到偏差_min,期望窗内
2,姜蒜,1,9,280.0,150.0,430.0,1450.0,39.08433402106257,84.80240165055017,27.653226743827013,29.084334021062567,05:10,0.0,05:10,05:40,0.0,0.0,True
2,姜蒜,2,4,350.0,230.0,580.0,1020.0,7.879587830009802,18.911010792023525,25.0,7.879587830009802,05:59,0.0,05:59,06:34,0.0,0.0,True
2,姜蒜,3,1,80.0,30.0,110.0,440.0,12.518249689413532,28.63484486815516,26.230104783983148,10.952744815594286,07:02,0.0,07:02,07:17,0.0,0.0,True
2,姜蒜,4,20,75.0,55.0,130.0,330.0,8.554948709764151,12.832423064646228,40.0,0.0,07:30,0.0,07:30,07:45,0.0,0.0,True
2,姜蒜,5,5,85.0,35.0,120.0,200.0,5.5880724733398335,8.38210871000975,40.00000000000001,0.0,07:54,0.0,07:54,08:09,0.0,0.0,True
2,姜蒜,6,23,48.0,32.0,80.0,80.0,11.789303533595092,17.68395530039264,40.0,0.0,08:26,0.0,08:26,08:36,3.753255614222553,0.0,False
3,姜蒜,1,25,280.0,160.0,440.0,1480.0,25.622307275420088,55.49353746100821,27.703017447849597,18.95564060875342,04:45,0.0,04:45,05:15,0.0,0.0,True
3,姜蒜,2,15,450.0,320.0,770.0,1040.0,5.042153685457122,12.101168845097094,25.0,5.042153685457122,05:28,0.0,05:28,06:08,0.0,0.0,True
3,姜蒜,3,8,50.0,35.0,85.0,270.0,27.22973768613404,60.49659166441156,27.006219957498057,21.83553903912279,07:08,21.908702029483152,07:30,07:40,30.0,0.0,False
3,姜蒜,4,3,45.0,30.0,75.0,185.0,13.311624665389097,19.96743699808364,40.00000000000001,0.0,08:00,0.0,08:00,08:10,0.0,0.0,True
3,姜蒜,5,27,65.0,45.0,110.0,110.0,5.471607648165724,8.207411472248586,40.00000000000001,0.0,08:18,0.0,08:18,08:33,0.0,0.0,True
4,姜蒜,1,6,400.0,280.0,680.0,1488.0,24.769422210523445,37.15413331578517,40.0,0.0,03:57,2.845866684214826,04:00,04:40,30.0,0.0,False
4,姜蒜,2,22,430.0,280.0,710.0,808.0,33.06262911449464,79.35030987478714,25.0,33.06262911449464,05:59,0.0,05:59,06:39,0.0,0.0,True
4,姜蒜,3,28,65.0,33.0,98.0,98.0,18.436900590528705,35.398984682747866,31.249880338258667,8.604037552172011,07:15,0.0,07:15,07:30,0.0,0.0,True
5,姜蒜,1,18,380.0,240.0,620.0,1438.0,39.95554393996803,71.89330545592328,33.34570056551164,13.288877273301363,04:32,0.0,04:32,05:12,0.0,0.0,True
5,姜蒜,2,26,320.0,280.0,600.0,818.0,6.976367982718418,16.743283158524203,25.0,6.976367982718418,05:29,0.0,05:29,06:09,0.0,0.0,True
5,姜蒜,3,24,88.0,40.0,128.0,218.0,20.65852257111908,49.5804541706858,25.0,20.65852257111908,06:58,0.0,06:58,07:18,0.0,0.0,True
5,姜蒜,4,14,50.0,40.0,90.0,90.0,12.338284358984378,18.507426538476565,40.00000000000001,0.0,07:37,0.0,07:37,07:47,0.0,0.0,True
6,姜蒜,1,19,300.0,230.0,530.0,1493.0,37.052357813307225,67.92565875193733,32.72903803432052,13.719024479973893,04:33,0.0,04:33,05:08,0.0,0.0,True
6,姜蒜,2,7,300.0,160.0,460.0,963.0,14.804149594192646,35.52995902606235,25.0,14.804149594192646,05:43,0.0,05:43,06:13,0.0,0.0,True
6,姜蒜,3,13,50.0,25.0,75.0,503.0,6.082540155345395,14.598096372828948,25.0,6.082540155345395,06:28,0.0,06:28,06:38,1.9462858491713744,0.0,False
6,姜蒜,4,2,90.0,40.0,130.0,428.0,5.988010314252416,14.3712247542058,25.0,5.988010314252416,06:52,0.0,06:52,07:12,0.0,0.0,True
6,姜蒜,5,10,70.0,28.0,98.0,298.0,4.823054588554572,7.234581882831859,40.0,0.0,07:20,0.0,07:20,07:35,0.0,0.0,True
6,姜蒜,6,29,55.0,25.0,80.0,200.0,8.916454666663341,13.374681999995012,40.0,0.0,07:48,0.0,07:48,07:58,0.0,0.0,True
6,姜蒜,7,16,70.0,50.0,120.0,120.0,41.947229010270654,62.92084351540598,40.00000000000001,0.0,09:01,0.0,09:01,09:16,0.0,0.0,True
7,姜蒜,1,30,480.0,380.0,860.0,1482.0,46.15294012808664,86.76705630740794,31.91506691058244,19.486273461419973,04:47,0.0,04:47,05:27,0.0,0.0,True
7,姜蒜,2,11,200.0,120.0,320.0,622.0,2.6558331237812065,6.373999497074896,25.0,2.6558331237812065,05:33,0.0,05:33,05:58,0.0,3.1410558044828463,False
7,姜蒜,3,17,60.0,32.0,92.0,302.0,9.168443912004108,22.00426538880986,25.0,9.168443912004108,06:20,0.0,06:20,06:35,9.854678806707284,0.0,False
7,姜蒜,4,21,70.0,35.0,105.0,210.0,37.56712546610106,65.67119275166682,34.322926591109514,10.356116169461368,07:41,0.0,07:41,07:56,0.0,0.0,True
7,姜蒜,5,12,60.0,45.0,105.0,105.0,2.059198838954752,3.0887982584321283,40.0,0.0,07:59,0.0,07:59,08:14,1.0946877966083548,0.0,False
