车辆编号,产品,停靠序号,客户编号,需求量_kg,该路段出发载重_kg,路段距离_km,路段速度_kmh,到达时刻,等待_min,开始服务时刻,离开时刻,早到偏差_min,迟到偏差_min,期望窗内
2,鲜面条,1,6,160.0,385.0,24.769422210523445,40.0,04:02,0.0,04:02,04:27,27.845866684214823,0.0,False
2,鲜面条,2,25,135.0,225.0,14.522594929838936,25.0,05:02,0.0,05:02,05:32,0.0,0.0,True
2,鲜面条,3,29,60.0,90.0,9.429845740060594,25.0,05:55,0.0,05:55,06:15,0.0,0.0,True
2,鲜面条,4,28,30.0,30.0,5.492125240499075,25.0,06:28,0.0,06:28,06:43,0.0,27.82109150074183,False
4,鲜面条,1,9,180.0,465.0,39.08433402106257,40.0,04:19,0.0,04:19,04:49,11.373498968406125,0.0,False
4,鲜面条,2,4,100.0,285.0,7.879587830009802,25.0,05:08,0.0,05:08,05:33,0.0,0.0,True
4,鲜面条,3,7,120.0,185.0,7.876661350572376,25.0,05:51,0.0,05:51,06:16,0.0,0.0,True
4,鲜面条,4,14,30.0,65.0,2.115857480836653,25.0,06:22,0.0,06:22,06:37,0.0,0.0,True
4,鲜面条,5,2,35.0,35.0,9.195269110820298,25.0,06:59,0.0,06:59,07:14,0.0,0.0,True
5,鲜面条,1,11,230.0,630.0,43.85089279458767,40.0,04:01,0.0,04:01,04:31,29.223660808118492,0.0,False
5,鲜面条,2,30,145.0,400.0,3.1968786108756424,25.0,04:38,0.0,04:38,05:08,0.0,0.0,True
5,鲜面条,3,10,20.0,255.0,12.320166249575053,25.0,05:38,0.0,05:38,05:48,0.0,0.0,True
5,鲜面条,4,19,160.0,235.0,3.059742509381958,25.0,05:55,0.0,05:55,06:25,0.0,0.0,True
5,鲜面条,5,12,75.0,75.0,14.234933390459007,25.0,07:00,0.0,07:00,07:20,0.0,29.524469016581463,False
6,鲜面条,1,21,80.0,475.0,50.97026310925777,40.0,04:01,0.0,04:01,04:21,28.54460533611333,0.0,False
6,鲜面条,2,26,130.0,395.0,7.805038792582894,25.0,04:40,0.0,04:40,05:10,0.0,0.0,True
6,鲜面条,3,18,180.0,265.0,8.582544120622988,25.0,05:31,0.0,05:31,06:01,0.0,0.785593655580783,False
6,鲜面条,4,17,60.0,85.0,12.126057469424332,25.0,06:30,0.0,06:30,06:50,0.0,0.0,True
6,鲜面条,5,24,25.0,25.0,11.301888545000798,25.0,07:17,0.0,07:17,07:27,0.0,17.0126640902011,False
7,鲜面条,1,15,150.0,335.0,18.21040599138714,40.0,03:57,2.684391012919292,04:00,04:25,30.0,0.0,False
7,鲜面条,2,16,25.0,185.0,15.85456140690195,25.0,05:03,0.0,05:03,05:13,0.0,0.0,True
7,鲜面条,3,3,30.0,160.0,19.45894639983595,25.0,06:00,0.0,06:00,06:15,0.0,0.0,True
7,鲜面条,4,1,70.0,130.0,4.755787659451245,25.0,06:26,0.0,06:26,06:46,0.0,0.0,True
7,鲜面条,5,5,60.0,60.0,3.307448079614089,25.0,06:54,0.0,06:54,07:14,0.0,24.10418450992779,False
8,鲜面条,1,13,90.0,365.0,28.48104220699028,40.0,04:03,0.0,04:03,04:28,27.278436689514592,0.0,False
8,鲜面条,2,22,120.0,275.0,12.746470623651913,25.0,04:58,0.0,04:58,05:28,0.0,0.0,True
8,鲜面条,3,27,65.0,155.0,6.54207790950884,25.0,05:44,0.0,05:44,06:04,0.0,0.0,True
8,鲜面条,4,23,30.0,90.0,3.048503032610866,25.0,06:11,0.0,06:11,06:26,0.0,0.0,True
8,鲜面条,5,20,35.0,60.0,1.961667110145735,25.0,06:31,0.0,06:31,06:46,0.0,1.038488132687064,False
8,鲜面条,6,8,25.0,25.0,3.310065825840685,25.0,06:54,0.0,06:54,07:04,0.0,0.0,True
