客户编号,经度,纬度,产品,需求量_kg,期望开始,期望结束,可接受开始,可接受结束,服务时间_分,时间窗,大蒜_kg,生姜_kg
1,104.19,30.83,鲜面条,70,330,390.0,300,420.0,20,330-390,,
2,104.11,30.64,鲜面条,35,360,420.0,330,450.0,15,360-420,,
3,104.17,30.84,鲜面条,30,300,360.0,270,390.0,15,300-360,,
4,104.14,30.61,鲜面条,100,270,360.0,240,390.0,25,270-360,,
5,104.2,30.81,鲜面条,60,330,390.0,300,420.0,20,330-390,,
6,104.18,30.71,鲜面条,160,270,330.0,240,360.0,25,270-330,,
7,104.08,30.59,鲜面条,120,270,360.0,240,390.0,25,270-360,,
8,104.06,30.63,鲜面条,25,360,420.0,330,450.0,10,360-420,,
9,104.2,30.59,鲜面条,180,270,330.0,240,360.0,30,270-330,,
10,104.05,30.68,鲜面条,20,300,360.0,270,390.0,10,300-360,,
11,104,30.61,鲜面条,230,270,330.0,240,360.0,30,270-330,,
12,104.15,30.68,鲜面条,75,330,390.0,300,420.0,20,330-390,,
13,104.06,30.76,鲜面条,90,270,360.0,240,390.0,25,270-360,,
14,104.06,30.59,鲜面条,30,360,420.0,330,450.0,15,360-420,,
15,104.16,30.79,鲜面条,150,270,330.0,240,360.0,25,270-330,,
16,104.28,30.73,鲜面条,25,300,360.0,270,390.0,10,300-360,,
17,104.09,30.64,鲜面条,60,300,390.0,270,420.0,20,300-390,,
18,103.99,30.68,鲜面条,180,270,330.0,240,360.0,30,270-330,,
19,104.03,30.69,鲜面条,160,270,360.0,240,390.0,30,270-360,,
20,104.07,30.65,鲜面条,35,330,390.0,300,420.0,15,330-390,,
21,103.86,30.71,鲜面条,80,270,360.0,240,390.0,20,270-360,,
22,104.12,30.68,鲜面条,120,270,360.0,240,390.0,30,270-360,,
23,104.06,30.66,鲜面条,30,300,390.0,270,420.0,15,300-390,,
24,104.08,30.56,鲜面条,25,360,420.0,330,450.0,10,360-420,,
25,104.1,30.77,鲜面条,135,270,360.0,240,390.0,30,270-360,,
26,103.93,30.7,鲜面条,130,270,330.0,240,360.0,30,270-330,,
27,104.06,30.68,鲜面条,65,300,390.0,270,420.0,20,300-390,,
28,103.99,30.73,鲜面条,30,300,360.0,270,390.0,15,300-360,,
29,104.03,30.74,鲜面条,60,300,390.0,270,420.0,20,300-390,,
30,103.98,30.61,鲜面条,145,270,330.0,240,360.0,30,270-330,,
1,104.09,30.69,姜蒜,110,420,480.0,390,510.0,15,420-480,80.0,30.0
2,104.04,30.67,姜蒜,130,390,450.0,360,480.0,20,390-450,90.0,40.0
3,104.11,30.64,姜蒜,75,450,510.0,420,540.0,10,450-510,45.0,30.0
4,104.14,30.61,姜蒜,580,270,360.0,240,390.0,35,270-360,350.0,230.0
5,104.13,30.69,姜蒜,120,420,480.0,390,510.0,15,420-480,85.0,35.0
6,104.18,30.71,姜蒜,680,270,330.0,240,360.0,40,270-330,400.0,280.0
7,104.08,30.59,姜蒜,460,270,360.0,240,390.0,30,270-360,300.0,160.0
8,104.06,30.55,姜蒜,85,480,540.0,450,570.0,10,480-540,50.0,35.0
9,104.2,30.59,姜蒜,430,270,330.0,240,360.0,30,270-330,280.0,150.0
10,104.08,30.66,姜蒜,98,420,480.0,390,510.0,15,420-480,70.0,28.0
11,104,30.61,姜蒜,320,270,330.0,240,360.0,25,270-330,200.0,120.0
12,104.26,30.88,姜蒜,105,480,540.0,450,570.0,15,480-540,60.0,45.0
13,104.06,30.63,姜蒜,75,390,450.0,360,480.0,10,390-450,50.0,25.0
14,104.05,30.71,姜蒜,90,450,510.0,420,540.0,10,450-510,50.0,40.0
15,104.06,30.77,姜蒜,770,270,330.0,240,360.0,40,270-330,450.0,320.0
16,103.7,30.64,姜蒜,120,510,570.0,480,600.0,15,510-570,70.0,50.0
17,104.07,30.63,姜蒜,92,390,450.0,360,480.0,15,390-450,60.0,32.0
18,103.99,30.68,姜蒜,620,270,330.0,240,360.0,40,270-330,380.0,240.0
19,104.03,30.69,姜蒜,530,270,360.0,240,390.0,35,270-360,300.0,230.0
20,104.14,30.73,姜蒜,130,450,510.0,420,540.0,15,450-510,75.0,55.0
21,104.25,30.89,姜蒜,105,420,480.0,390,510.0,15,420-480,70.0,35.0
22,104.12,30.95,姜蒜,710,270,360.0,240,390.0,40,270-360,430.0,280.0
23,104.04,30.64,姜蒜,80,510,570.0,480,600.0,10,510-570,48.0,32.0
24,104.08,30.62,姜蒜,128,390,450.0,360,480.0,20,390-450,88.0,40.0
25,104.1,30.77,姜蒜,440,270,360.0,240,390.0,30,270-360,280.0,160.0
26,103.93,30.7,姜蒜,600,270,330.0,240,360.0,40,270-330,320.0,280.0
27,104.08,30.67,姜蒜,110,480,540.0,450,570.0,15,480-540,65.0,45.0
28,104.18,30.82,姜蒜,98,390,450.0,360,480.0,15,390-450,65.0,33.0
29,104.08,30.6,姜蒜,80,420,480.0,390,510.0,10,420-480,55.0,25.0
30,103.98,30.61,姜蒜,860,270,330.0,240,360.0,40,270-330,480.0,380.0
