物理车辆,车型,产品,发车min,回场min,载重kg,里程km,准时客户,路线
M1,中型7.6m冷藏车,姜蒜,170,614.5707869777914,2810.0,147.03720418319634,4,配送中心0→姜蒜-30→姜蒜-11→姜蒜-18→姜蒜-19→姜蒜-13→姜蒜-17→姜蒜-02→姜蒜-10→姜蒜-08→配送中心0
M2,中型7.6m冷藏车,姜蒜,200,545.0710982933994,2093.0,114.41970613768638,3,配送中心0→姜蒜-25→姜蒜-15→姜蒜-26→姜蒜-29→姜蒜-24→姜蒜-03→配送中心0
S1,小型4.2m冷藏车,姜蒜,0,326.1046426355442,710.0,42.273870693572206,0,配送中心0→姜蒜-22→配送中心0
S1,小型4.2m冷藏车,面条,330,449.423267811162,160.0,33.28323608223708,2,配送中心0→面条-03→面条-01→面条-05→配送中心0
S1,小型4.2m冷藏车,姜蒜,470,714.3397104962852,230.0,142.8931403308568,1,配送中心0→姜蒜-27→姜蒜-16→配送中心0
S2,小型4.2m冷藏车,面条,160,494.6592275353001,450.0,133.2163602485267,4,配送中心0→面条-21→面条-26→面条-18→面条-20→面条-24→配送中心0
S3,小型4.2m冷藏车,面条,180,479.275693406155,555.0,107.87252703958929,3,配送中心0→面条-07→面条-30→面条-11→面条-14→面条-23→配送中心0
S3,小型4.2m冷藏车,姜蒜,500,548.4679275270564,210.0,12.311951684704225,1,配送中心0→姜蒜-21→姜蒜-12→配送中心0
S4,小型4.2m冷藏车,面条,185,508.7917388493422,565.0,113.56949256622812,2,配送中心0→面条-09→面条-04→面条-19→面条-27→面条-08→面条-02→配送中心0
S5,小型4.2m冷藏车,面条,200,482.01924178947934,395.0,92.1580248821874,3,配送中心0→面条-25→面条-13→面条-29→面条-28→面条-10→面条-17→配送中心0
S6,小型4.2m冷藏车,面条,215,479.858089411335,530.0,84.53661473014303,1,配送中心0→面条-15→面条-16→面条-06→面条-22→面条-12→配送中心0
S7,小型4.2m冷藏车,姜蒜,225,497.2045115240274,1328.0,94.0951054417935,2,配送中心0→姜蒜-06→姜蒜-07→姜蒜-14→姜蒜-28→配送中心0
S8,小型4.2m冷藏车,姜蒜,230,572.042143344127,1450.0,124.06976222941805,4,配送中心0→姜蒜-09→姜蒜-04→姜蒜-01→姜蒜-20→姜蒜-05→姜蒜-23→配送中心0
